,0
25,"i honestly have to say this place is a mess. i enjoyed the comedians but i was so uncomfortable. my seat was very lumpy. the place was very dirty. the ladies room was equally dirty so i held it until i got home. i think it needs some renovations. 

i didn't like that our parking voucher said $5 and they made us pay $10. the show was to start at 8:30 it started at 9p and the 15 minute intermission turned into 30 minutes. the show was suppose to be an hour and half but it ended up being 3 hours.

i did like that every seat appears to be a good seat."
26,"this place has been around about 7 years and it lost whatever cool factor it had about 2 years in, has had no updates our renovations unlike other locations in its chain

the concept didn't make sense that it's a ""county party bar"" that lies about being country as they always play top 40."
27,"so this would be the 3rd time we have used this company, 1st the repair guys are not good with ladies, dis-respectful in how the talk and respect ladies. i could not be home when frank (?) came. i had my wife call me and he was short with me and rude to my wife. 

we will never used them again"
28,"$225.00, elevators take forever, bathroom floor was wet when we got in, paint coming off the doors, rust, shower curtain attacks you while taking a shower, ac is noisy, pillows are small, don't think they've spent any money on renovations on the room we were in in quite a while. first and last time at the flamingo!"
29,"finally showed up and did a good job on the repair.  $300.00, an hour late on easter sunday morning.  did not earn my future business."
30,"after telling me on two separate days that he would come over to perform some rather simple woodworking repairs and then failing to show, he told me he would be over at the beginning of the following week.  when i contacted him at the beginning of the week, he then said that he had just been hired for a large job and would not be available for over two weeks. very unprofessional to lie to clients and cause them further delays when you choose to take on a new job before attending to jobs that you had already been hired for."
31,"i called valley wide on the word of a good friend. i called to set up an estimate to repair our master bath. the estimator came out on 2/3/16 and said he'd get the quote to us shortly. on 2/8 i received an email that i'd have my quote later that day or the next. after sending a follow up email, i finally received that estimate on 2/16/16. i emailed him that same day letting him know we decided to do a different material for the shower. on 2/17, he thanked me for the email and said he'd get that updated quote to me as soon as possible....today is match 1 st and i've yet to receive that updated quote. it seems that our business was perhaps not wanted. that's the only reason i can think of for taking such a long time to get a customer a quote, maybe hoping that we'd go with a different company. well, it worked."
32,"this seemingly fun place that is hampered by a completely inept staff and a bunch of games in various states of disrepair.

i could've gotten over the staff being crappy if i could just play games that actually worked. i'll just go to the pinball hall of fame to satisfy my nerdy urges properly."
33,"too much equipment ""out of order"" and not repaired quick enough. almost every time i come in a different piece of equipment is broken down. i think their repair crew quit on them. might also be the meat heads slamming the weights too hard for attention. smh."
34,"you were closed for ""repairs"" but what you should fix is my broken heart. i am usually excited for the kk lights, but only darkness, sadness and shame."
35,"same thing happened to me from the above comment.
ended up spending more than 3,000 dollars in repairs. i would not recommend this place to anyone. i am writing a complaint to the dmv to help resolve the matter."
36,"i was charged twice for sprinkler repairs , over $200.  i pointed out i still had issues, he said he didn't know why it still was leaking & that he could not do anything else. i called a real sprinkler company out, & they had to redo some of his mess up & a valve that he replaced is no good!"
37,"warning restaurant is closed because it's  under construction as of march 2018

brought my family there after driving for 30mins sadly it's not listed anywhere that the restaurant is under renovation thus it is closed"
38,"great meal, but just not worth it.
too expensive, too loud, and very outdated.
there are just too many great restaurants around to make this place worthwhile.  
the interior is well past needing a major renovation. drab and even a little dirty feeling."
39,"it's a shame that the chain that really started the specialty coffee explosion has come to this.

push button instant espressos, and waaay too much milk, which may not even be hot..   the baristas are too busy and things don't look sanitary behind the counter.  the lineups at this location are simply not manageable in the mornings.

i still buy ground coffee here, but will only buy prepared coffee if i am absolutely desperate, and that hasn't happened in quite a while.

the recent renovation hasn't helped anything, although more people can probably sit down and hang out, if that's your thing, i go for the coffee."
40,i just went in there to get a couple of windows repaired and was told it would take 2 days and i needed a copy of my receipt. what kind of business won't look at the original receipt. i talked to chris . and was very rude .
41,the genius bar people are very friendly but the repair department is awful. they have a serious problem here. sherway gardens is much better. i'll stick with them from now on.
42,i was in the area so i tried out royal cleaners. a bit pricey i think.....the 2 out of 3 pairs of shorts i had them repair (buttons) have came off again. being that they weren't cheap i expected a much better job
43,this place is old. and it seems it. despite some major renovations i'd actually say this hilton is lower-end then your average hilton around the country. everything was clean and the cost is reasonable but i wouldn't come here again (thankfully this was a biz trip and i didn't pay for my stay). there's not much around here within walking distance which is really a big bummer in vegas. one redeeming quality is that it has its own monorail stop.
44,"this company is a joke. overcharging for simple repairs, said it would take 3 weeks to get a refrigerator water line. unacceptable. made a call to ge who fixed it in 10 minutes with no surprise charges. i'm thinking that buy rite has a contract with protective plan we got thru hoa. canceled the protective plan as well."
45,"if you want to have attitude from the guy that come to your house... call these guys 

he was more worried about who was gonna pay for the repairs than doing them. i live in a rental so i shouldn't be the one to make the decisions and pay for it.

overall bad experience go with a different company"
46,i worked with dave on a finding a house. i was pre approved and ready to go. i went with dave because i went to upnest and he gave up 40 percent of his commission to go towards closing. he was available and eager to help me. most of my experience was good until i found a house. he isn't aggressive really at all. he kinda plays middle man and dosent look out for his clients best interest. i went over asking and thought i could make it up in the seller credits. dave hooked me up with his handyman he he used for years and was great. he extremely low balled the repairs and basically hooked me up with his guy who obviously has seen better days. i never met him personally i trusted dave to get the quote take it to the seller and get the credits. unfortunately his guy has no idea what he's doing. the repairs he quoted will cost 3 times what i got in seller credits. he basically gave me a fictional quote. his guy went mia and they both left me high and dry after the closing. now i'm paying someone 3 times to do it the right way. the sad part is the seller was willing to pay for it to be done right. when i asked him why he would do this to a client he seems to only deal with people who are unreliable. i guess i'm his world that's what it is. i guess if you got to give up half your commission to get business you got bigger problems.
47,"i couldn't leave no stars that's the only reason they are getting 1. they never keep they're appointment times, they never call with a different appointment time you have to call them, and they just don't show up for scheduled appointments. hands down one of the worst companies i've had to deal with in regards to home repairs. it's dumbfounding how they can even stay open with the way they treat their customers. don't waste your time and money with this company."
48,they are just ok they do not repair things when asked they just raised rent to 900 many things that county should be made aware of.
49,"just came home from work early and waited an hour and a half for an appointment scheduled a week ahead of time for repair work on my yard irrigation. they not only didn't show up, they didn't call to let me know they wouldn't be coming or to reschedule. i would definitely not recommend this company to anyone, and i will not make the mistake of calling them to reschedule. fool me once, shame on me..."
50,"beware:  right guys caused thousands of dollars worth of water damage to my home.  my warranty company assigned them to replace the angle stops in my bathrooms and kitchen.  they kept popping out.  they were plastic and the plumber told me they are not used any more.  the plumbers  incompetence caused a leak in my upstairs bathroom behind the wall that caused water to come through my kitchen ceiling. they had brandon come and fix the leak the next day.  he explained to me what the previous plumber had done wrong, apologized and assured me they would repair the damage. they sent a restoration company out to assess the damage then lied to the warranty company to get them to cover the cost of fixing it.  now he says i had a leak before they came out.  i would give right guys negative stars if i could.  look at his responses to unhappy customers. it speaks volumes."
51,shamrock roofing company is a sham. beware of estimates and work done by them. they came out to inspect a roof on a house in mesa for a realtor who is the listing agent and did not see the water damage under the eves or in the bedrooms. three other reputable roofing companies all caught the water damage and gave a fair estimate for repairs. shamrock roofing on the other hand was going to silicone the cracked and broken tiles and did not inspect the under lament. i give this roofing company two thumbs down and a dumpster!
52,"i've been trying to get a handyman through the app for some simple work around my house for weeks and have just had five cancellations in a row. it's like clockwork, one hour before my booking is supposed to start the app says there was a ""last-minute pro call-off"" and that they have to reschedule. 

i've complained but they have not refunded my money, they only give me credit in the app, in other words they're keeping my money and the work i've paid for isn't getting done. 

it's very clear to me that handy is lying to consumers, saying a booking has been made and not making a booking at all. 

avoid this app like the plague."
53,"run far far away. the place is worn down. managed by people who couldn't find their way out of a wet paper bag. 
their ""maintenance"" personnel must have learned their repair knowledge from a joke in a cracker jax box. 
never ever ever rent here."
54,horrible repairs that did more damage to my windows (than when they 1st got here). like a nightmare having them in my home! man talk about inept! absolutely no professional abilities with these guys!
55,they did a great job with the repair. my complaint is that one of the parts failed after 3 months and they said it was due to road debris when there was no apparent damage to the part.
56,highly recommended avoiding a kb home at all cost. they hire low quality contractors to do shotty work. they are the worst to work with gettin issues fixed. i have had my floor repaired numerous times and now have to have the whole thing replaced! and it was not the original floor picked at the studio. don't waste your money go with a different builder!!!
57,"i signed up just to post this review.
avoid at all costs!

i did some business with them to produce a design a renovation.  they ignored my design, did a horrible and an incomplete job and on top of that they refused to complete it. they currently being sued for their shady business practices."
58,ama also does plumbing and they are contracted with my home warranty company.  i have a $1000 limit with my home warranty for the slab leak repair.  ama gave me a quote of $7000 and i just had another company out that will repair it for $1300.
59,"horrible!! in september 2013, we took my daughter's yamaha trumpet in for a minor repair. in january, they still had not repaired it. in february, when we returned again not only had it not been repaired, they had somehow caved in one of the valves. they did not charge us, but in no way did they offer to try to make it better or even apologize for the additional damage they did. a completely shameful way to do business. customer beware."
60,"my fathers garage door broke and in need of repair .  a broom stick fell by the track and it broke.  we called for someone to give an estimate !! garage door for 3000$ !! really so what it has windows and insulated.   took total advantage of an elderly person.  
i called to advise them not to fix it after my elderly father told the repair guy to do it and they wanted to charge a restock fee and had a terrible attitude.  
for the same garage door the highest estimate we received after the fact was $1200.00
if you want to throw money away then use this company"
61,i used to liker this place until they did a few bad jobs on my pants and refused to repair
62,the repair had a issue where a clip wasn't replaced . then my seats were covered in grease !!!
63,horrible company just horrible burned up the new compressor they supposedly installed completely broke my brand new lg fridge and when i called to tell them about it the trailer trash of an owner got mad at me and hung up. sears came out and said my fridge was beyond repair the evaporator was bad they broke a line spraying freon all in my house and left it they are incompetent should not even be in business beware!
64,"worst company ever! we made the mistake of renting through this joke of a company for 2 years and will never again make that same mistake or ever allow our friends or family to either! they do not respond to calls, they take their time with repairs. we had to go as far as finding out who the owner of the home was ans call him!!!!! don't  waste you time, energy, or money!"
65,"ordered online. delivered sectional couch and recliner as scheduled. installers didn't completely connect all pieces of the sectional, discovered one of the reclining parts of the sectional wouldn't put the feet up, then a person was sent out to repair it and broke it further, now leaving it permanently open. waited a week for them to get in touch with us. they say they're going to give a replacement but not until after christmas. so we have a permanently opened reclining part of a sectional open all the time. very unsatisfactory. will not buy from there again."
66,"have been looking for a good handyman for sometime and unfortunately, i'll have to keep looking. we needed three new sinks installed and mr. fix it was not happy that there were other trades working in the house, mad that he'd have to get some supplies, and unwilling to work past four. besides, he was rude to my girlfriend. i fired them and am getting someone else."
67,"if i could give zero stars i would. i've had track homes, custom homes, spec homes, built from the ground up and lennar is by far the absolute worst home builder known to man. we bought in olympia ridge and i will say lennar has no business building high-end homes. what a joke. they're in lawsuits with majority of the homeowners, forced another homeowner to move from their brand new home and put it on the market and the list goes on. they hire cheap workers, cheap trades and low budget on everything. i can honestly say i've been inside the homes of 8 eight homeowners (out of 35) and every single home was covered in blue tape waiting on a lennar repairs. so sad. the fixtures, lighting, and home warranty is an absolute joke. the fixtures are the same as the fixtures they put in a 200k home and they put them in a 2mm home. such a joke. lennar, you need to stop building and move on. you are definitely not in the niche for home building."
68,"liars. they took over the property we were renting when the owner sold it. we had all kinds of problems with things breaking from the time we moved in. when we moved out, there were things that needed replacing and updates because of plumbing problems and pipes leaking. it was hard to get them to fix anything without an argument. the plumber that fixed the leaky pipe told us the whole system needed to be ripped out and replaced.  now these people are giving us bad references, saying that we left the place in bad shape. they kept our deposit. we cleaned and scrubbed everything from top to bottom before we left. even made a few repairs ourselves. i wouldn't recommend renting from them ever."
69,"initially they came out and did the repair as needed for 250+ dollars.  said i had a 2 year warranty.  however, after door stopped rolling again we contacted and no one very returned our call, contacted a 2nd time, and then waited all summer with a broken door.  finally got another company to come and fix for us."
70,"do not do business here!  classic bait and switch plus false advertising!  ""best warranty in arizona - 3 years or 36,000 miles for all rebuilt and repaired transmissions"" - right?...sure, ok... that they do not honor.  paid for a rebuilt transmission 10 months ago, and it went to s*** after 10 short months, and they refused to honor the warranty that is on their website.  do not waste your money.  utter incompetence.  i'm betting all the positive reviews are fake."
71,had them come out on january 11th 2019 for a leak in the laundry room. they charged me $300 to supposedly fix the leak. it did not fix the leak and called another company who found the leak in another area and informed me what they did in my laundry to fix the supposed leak was wrong and against code. i paid another plumber to fix the problem and repair what they did wrong. amazing leak referred me to a dry way repair guy also who flaked so nothing good for me to report on amazing leak detection and i will not call them again.
72,"i got these guys through my fidelity home warranty and they're horrible! i tried to file a claim on an item that wasn't covered.  (not their fault)  i then asked them if they did the work that they apply my deductible payable to them to the repair.  they said that they would, but then charged me both.  when i tried to call them out on it, they said that their tech would never say that.  i tried to reason with them by explianing that i still paid them what anyone else would if they had the work done through them plus the deductible, but they were obstinate and wouldn't listen.  if you get to these guys through fidelity, i'd strongly recoomend that you go somehwere else.  not cool at all!"
73,"after reading the reviews i decided to hire 24/7 electrical to repair my kitchen pendant lights that were malfunctioning.  i was charged $150 for ""jiggling"" a couple of the light strands and told my problems were ""fixed"".  there was one light that still did not work - they couldn't fix it so they just took it down.  then they sent me all over town looking for a part to properly fix that light, which to this day i still cannot find.  after a month a couple of the lights stopped working, so i called them out for yet another repair and after one changed bulb, one light still did not work, and was charged another $75.

after $225 and two appointments i expected a more thorough diagnosis of the issues with my pendants lights - and i also expect that if a light needs a part in order to operate properly, that my electrician would find the part and re-install the pendant lights the way they were designed to be.

i have had other projects that required electrical work and found better, more thorough  technicians than what i experienced at 24/7."
74,"called to get a quote, instead got a lecture about how i do not know anything. he said that i will never find anyone else in the city that can repair miele better than him. completely unprofessional. then, he had the audacity to hang up on me mid-sentence. i am appalled."
75,called to schedule  repair done on gutters they installed several years ago.  to date no return call.  went with someone else...bought larger gutters as the ones they installed too small for my roof size.  you snooze you loose.  i do not recommend this company.
76,"if there was a way to rate this company a zero i would! the owner operator was extremely rude, used abusive language and hung up on us while trying to discuss our repairs! i would file a complaint with the bbb but this business is not accredited by them. not hard to figure out why!!"
77,had repairs done last year for over 3000. now my unit is dead and they say another 4000! stay away.
78,we buried our grandmother there in 1972 and for a while resthaven was maintained.  it didn't take very long for the cemetery to go downhill.  flowers have been removed when told they would not. two of our family's gravestones were chipped by mowers. one gravestone had the flower pot bent - again by a mower. this was never repaired.  too many times my family has had to deal with issues.  absolutely cannot recommend this cemetery. we found this disgusting site at 11:15 am on father's day!
79,"worst company we ever work with. so-called report doesn't have at the end  list of problems / issues what need to be repaired in the house- you have to look for them in plain text thru the whole report, and half of  them doesn't have good explanation , just referred to the pictures, which have same numbers so it's impossible to figure out which picture describes what  kind of problem. when client  asked in email to fix the report so him or me or my assistant or our agent could understand it, client  got called insulted. very dissapointing experience."
80,"two days after ""fixing"" my heater, it stopped working.  i made an appointment to have it repaired which they confirmed but then canceled because they said they had other customers who had called after me they needed to attend to first.  then i made yet another appointment, and i ended up waiting 5 hours for them."
81,"tried going tonight, but closed -- at 8pm on a weeknight!not good if you're in the restaurant business.  general manager needs to keep an eye on repairs and maintenance  -- most of their outdoor electric sign is burned out (and has been for at least a year), and booths inside are looking pretty worn out."
82,"dan, the owner is not very friendly.  he is rude and very condescending. i bought a washer and dryer from them and they turned out to be a fix and repair nightmare.  i am starting to think they sell reconditioned merchandise."
83,"love how the first rating is from the guy that owns the company. worked for over 6mo with these guys with very little result. a few minor things removed, but nothing anywhere near credit repair."
84,"seriously agree...if i could give zero stars, i would!
the 4 hour window i was given was between 10 & 2. it is now 5:20 & i haven't heard a word! 
i called them at 2:45 because i needed to pick up my grandson & i was informed that the repairman was a ""bit""  behind schedule and there was still one call ahead of me...therefore, i had plenty of time to ick up the ""kid"" or i could reschedule. reschedule!!!???? and waste another whole day???
seriously? common courtesy would have him making a call to let those of us (waiting at home) that he was behind! 
if i had a choice, i would never use this company! thank you home warrant


no tony, you did not reach out to me! i had to call you to find out what was going on! get your facts straight! 
if you don't appreciate the poor reviews, consider reviewing your work. you act as if my time isn't important!"
85,"i called them out for a water main leak estimate. quoted 2 - 2.5 hrs for repair in labor and $100 in parts. total estimate $ 750!!!!! i guess they just wanted to collect my $49 fee to give a ridiculous estimate! almost $300 an hour to dig a hole and cut out and replace a pipe??? not to mention, the tech thought he was a comedian. not funny! thanks for wasting my time and money guys!

just received another estimate for $225. that's more like it."
86,"i waited over a week for them to repair our microwave. when i called to find out the status (don't you think they should have called me??) he said could be a couple weeks for the part. i asked if he even knew where the part was and he yelled at me something like ""you don't know"" and hung up on me! 
they should not be in business!!"
87,"sadly, café la gaffe as we knew it no longer exists.  they made some quick, shoddy renovations in april 2019 that completely destroyed the atmosphere.  the bar that anchored the place has disappeared, replaced by very ugly fake wood wall panelling.  the floor is now plastic fake wood as well.  there are more tables than before, but the charm that made this place special is gone."
88,"this place is the worst place to get window repair or door fixed...there installer jc sucks at his job. they install the door but leave the locks and security sensors off. the old door had it on so the new door should have it on too. there over priced on there glass and door repair and make you wait over month for simple fix. north hill glass quoted us 2500 for repair and they quoted us 4,000 plus. worst place ever...do your self a favor and take your business anywhere but here. i recommend north hill glass..and there rude installer jc is rude and does poor job! not sure how this guy stays in business...save your money and don't call this glass company called quality glass just straight bad business‍‍‍"
89,this company charges ridiculous pricing for their work and they don't tell you what the amount is until they are done with the repairs.  make sure you confirm charges before work is done.
90,"came to fix the a/c in the summer. worked for a week, then it went down. waited a week for the second for the second attempt. they sent out the main guy this time. he got go it working. turned on the heater in the winter and now that is blowing cold air. it worked before a-1 repaired the a/c. they don't guarantee their work past 60 days."
91,"i really should give this place a n/a or zero star since they never bothered to show up for the appointment. we were given a two hour window and just waited and waited around. every other company we have contacted for a quote has managed to give us a specific time to expect them. shame, since there are so many good reviews that seemed promising for our full home renovation. but perhaps i should've known from the text message communication i received and the time window we were given (which i generally associate with cable companies, not a design firm) we weren't really dealing with true professionals."
92,"it's the ahs choice for home repair but i decided not to have it done since this business didn't understand what was an emergency situation. it want us to wait till next business day which is 3 days from today and my kitchen sink faucet was leaking hot water and needed attention asap.. finally it agreed but want us to pay $160.00 up front for taking away their family time besides the $75 deductible and the cost of the repair. lucky for us since my hubby has a little know how and fixed it. and also the number ahs gave us was not monitored since it was after 5pm friday. so i look up their other business and finally did make a contact. i don't recommend this business and ahs choice of company.
as to reply with air pro i just wanted it fixed i didn't mention about upgrade.i have relatives with children visiting the weekend about 8 people total and told me we can use cold water. unbelievable."
93,"terrible.
save yourself anger and headache later on.
go somewhere else !!

in fact, while i'm sitting here waiting for them to figure out how to help me with my banking, there is a repair person here getting instructions on fixing a door that the manager said was ""damaged by a customer that was mad at us when she left"".

i have a feeling things like this are getting to be a regular occurrence.
i will definitely be leaving this credit union very soon."
94,"had a water heater go out.  they showed up quickly to verify problem.  scheduled a repair.  no show, i called, rescheduled, no call - no show.  called again, same story different day.  3 weeks passed -rescheduled at least 6 times and never showed up.  had to hire someone else.  american home shield warranty covered problem.  guess business is to good to do warranty work.  cancelled ahs and won't do business with air pro master again (not that i really did business with them in the first place -as they never showed up after the initial visit)."
95,"terrible class schedule. there is classes at noon and then a huge break until 4 pm. for how expensive this membership is, it doesn't really include much. the schedule is garbage and i'm always having to drive to the dowd. now the dowd is having renovations and also closed their schedule for 4 hours. what a joke!!!!!!!!!!!"
96,horrible! my furniture is falling apart only 2 years after buying my living room set. the ottoman has already been repaired once and the cushions are ripping at the seams. i am very disappointed that i got rid of a sectional i had purchase from another company 15 years prior that was in better condition when i donated it than this 2 year old rooms to go sofa & love seat set.
97,"called these folks to come assess what was wrong with our ac. $79 later, i have a piece of paper that says to buy a new ac. no written explanation of anything, how to possibly repair, what the parts etc might cost. $79 down the drain; call someone else who will come do the estimate for free."
98,"this company did a great job installing basic gutters. they offered to install rain barrels, and that's where the problems started. barrels were damaged, because of improper installation, and gutters failed due to the faulty rain barrel install. after months, july to november, the company came to repair the gutters, remove damaged rain barrels, and wrote a check to cover the purchase of the new rain barrels.  gutters good, check bad. the owner, christian smallwood, gave many excuses, but never made good on the check. currently the issue is in the hands of the union county district attorney, due to the passing of a bad check, and i am hopeful that i will recoup the $500+ that this company cost me. caveat emptor, buyer beware!"
99,what a rude horrible business person. i don't know how he stays in business. i called about an oven repair and he was speaking i credibly rudely to me as i tried to explain the trouble i was having - basically yelling at me and insinuating i'm stupid. never in my life have i had an experience like this. stay clear!!!!!!!!
100,"a ahs warranty company that came out to repair my 20 year old dishwasher and told me i wasn't using it properly. i was told the model couldn't be read. i was told i should have kept a broken part. the gist of the visit was to deny repair to the dishwasher. 
when this company is assigned be prepared to protest to ahs and request a second opinion"
101,"if i could give them less stars, i would.  we have purchased two wonderful homes through lennar. the homes are outstanding.  lennar is less than fulfilling.  our agent michele zira made us so many promises and did not follow through.  now, on our second house in southern highlands, thinking it would be better, it is not.  still waiting, for 2 months, for things to be repaired on a brand new home.why is it so hard to get flaws on a new house to be fixed right away???"
102,"on 2/15/19, had pete repair a corner crack on concrete tile roof that was leaking. he used some black tar like material and said that it would last the life time of the tile. he was there 15 minutes and charged $125.00. i asked him to write on the receipt the guarantee that he talked about, but of course he wouldn't.  he said that if it leaked to call him and he would return.  several days later we had rain, snow and hail. the roof leaked in the exact same spot inside the house. i called and he returned my call that friday. he asked that i call on sunday morning to remind him. i called sunday morning and afternoon, no return call. i called on monday. no return call.  last call on tuesday, no return call.  talked guarantee, but no response.  paid $125.00 and roof still leaks."
