,0
36,"we were referred to this company by neighbors.  they painted all the exterior trim on our house which looks great.  we also needed quite a bit of interior drywall repaired and repainted.  their drywall repair was amazing and took only 1-1/2 days.  this company shows up on time, completes the job quickly, and are professional in every respect.  we will gladly recommend them to anyone and will use them for any future painting needs."
37,"when i think of the mgm grand arena... boxing is the first thing that comes to mind. built for the sports venue and built in a way that regardless of your seat location, every seat has a good view. great atmosphere, great crowd. place is a bit older now and might need a small renovation, but its still a cool place!"
38,"it takes a certain kind of man to invite you to his living room to conduct business. rich is an amiable guy, and is honest enough to inform you when a repair may not be necessary, despite his opportunity to profit. i went to him thinking i was going to pay out the wazoo, but mr beck let me know that my guitar would be fine as is. the consultation was free, and i know where i'm going in the future."
39,very good job on the renovation! impressive! nice and bright gaming area with good selection of restaurants. looks alot more customer friendly.
40,"update..doug called me after viewing review and scheduled someone to come out and make things right. my storage cabinets are  whole. i can now give 5 stars. all repairs have been made and they now look brand new. i appreciate doug sending rob, very nice guy and does meticulous work. love the cabinets, very sturdy and very roomy! clutter be gone! thanks doug!"
41,"branden and steve to the rescue! neighbor's garbage disposal was seriously jammed. since she if near deaf, i called on a thursday and batman and robin rolled in on schedule the next morning. prompt (actually 15 min early), patient and very friendly. they were able to repair (not replace) the disposal and fix a broken pipe fitting at a reasonable cost."
42,"had 5 patches repaired on favorite shorts...
excellent seamstress, very nice people, conveinant, economical.... good quality, highly recommend... :-)"
43,"yet another good review for garcia's windows & more. i usually trust yelp till i am proven wrong and i figured the five star reviews couldn't be that out of line. you would never think leaky windows in arizona would be an issue, but then you have never seen the monsoons. the cost of repairs to my leaky window  were very reasonable and they fixed the window quickly all in one visit.  mark is a nice guy and seems to really know what he's talking about.  if you have window issues give him a call.

update:  lots of rain last night and the window is leak free.  so they are good guys."
44,"what a great experience working with don.  his thoroughness and promptness was needed and very much appreciated. not only does he complete the inspection but he spends the quality time explaining the specifics beyond what a report shows. last, his summary report makes it real easy to take the serious findings and work with the seller. also, this was a great experience from the start; his communication from my initial request was prompt and he didn't just say ""visit my website"" like others. thanks don - the seller is paying for all the repairs. highly recommend."
45,"i'm so impressed with william! he spent an hour investigating the cause of my leak and determined, through two messy crawls through insulation in the attic, that the cause was a leaky pipe and not a roof leak at all. even though there were some minor problems noted on the roof, he determined that they are not leaking and so caulked to seal them at no charge and told me i didn't need a roof repair. i wouldn't hesitate to call him again for any roofing needs i have. he is knowledgeable, friendly and honest."
46,"nick came out and repaired our broken sprinkler. he was quick, priced fairly and coordinated with my schedule via text. i would highly recommend and will use again. i use yelp all the time and nick was awesome!!"
47,"their still in the process of finishing the renovation. the seats are now the recliner and they are very comfortable. i normally don't fall asleep in movie theaters, specially if it's an action movie like jason bourne but i did. the only thing is that the movie theater was a bit warm for me. the theater was full, maybe that's the reason, but anyways would be nice if it was a little cooler."
48,"renovations are still underway, but outdoor drapes and curtains give the place a tropical, calssy, jamiaca-meets-south beach feel. the inside of the lounge now features a wooden dance floor, which helps the growing swing scene on fridays."
49,"jeff, stacy and ernesto were amazing! jeff came out to give us a quote, answered all of our questions and was super friendly. stacy was an amazing help with our follow up questions and throughout the whole process. and ernesto did a fantastic job with our house. from the painting to the repairs needed - can't say enough wonderful things! our house was a terrible peach/salmon color before and we changed to a light cream color with the trim and pop outs a slightly darker brown. we chose a satin finish too and he made sure the old color didn't show through anywhere and that everything was neatly done. all three were friendly, helpful and patient (i ask a lot of questions). i highly, highly recommend j&m!"
50,i have rented from bpm 3 times in the past 23 years.  they are the best rental company i have found. honest & prompt with repairs .
51,"sun country is refreshing change from all the scam companies out there. i called them for a second opinion after a bad experience with another company (larson). they came the same day, which was amazing, and they provide second opinions free of charge! yes, free provided you have a written quote from the other company. how amazing is that??

turns out the repair i needed was no where near as urgent or expensive as made out to be larson.  the tech was also super friendly and helpful, unlike other said company. when the time comes, sun country is definitely getting all my business for any repairs or maintenance needed. these guys are great!

thanks, fellow yelpers for recommending this company!"
52,"z best turf repaired a play yard for one of our tenants in a retail center.  rob was helpful, educational, prompt and communicative.  as a property manager over 1,100 miles away, i greatly appreciate competent vendors.  my tenant was happy with the repair and the quick turnaround."
53,needed a refrigerator repaired. the y responded quickly and accomodated my crazy schedule. my technician was professional and offered explanation for the necessary repair.
54,monster air repaired our ac unit very quickly. they estimated between 11 &1 and arrived earlier than expected. our ac is blowing cold air and works great now.
55,"this company was great!  they had someone at my house within in a few hours - even though it wasn't an emergency.  our plumber was bill, and he was fantastic!  he was able to complete my laundry list of repairs and double-checked work we had done by a remodeling contractor, all within the one-hour minimum.  he even checked some items i didn't remember to ask about! he explained everything he did in a way that was informative, professional and friendly.  i would definitely use this company again, and be happy to have bill complete any plumbing work!"
56,called 24/7 at 6:00 am on saturday. they were at our house one hour later. they found out what the issue was within 15 minutes. repaired it in 15 minutes. juan was very friendly and knowledgeable. i will call them again for any electrical issues we have in the future. i would highly recommend them for any electric issues you might have.
57,"i've been here a couple time for repairs to worn, ripped items and they do good work, quick and at a good price!"
58,"i recently had these guys do some work on our new home.  we needed a half bath completely redone as well as some painting and minor repairs.  pete responded quickly.  came out and gave me what i thought was a very fair quote for the work.  he scheduled the work to be completed in 2 days.

when they started working they discovered that a floor that was to be replaced with tile had unexpectedly been glued down.  this slowed them down a bit and caused some extra work for them.  he still finished the work on time and kept to the original quote even with the extra work.  
my wife and i are very happy with the work and guess who we will be calling to work on our old house when we turn it into a rental."
59,"doug schramm at exclusively tankless is a life saver. our 'eternal' tankless water heater started leaking and popped the gfi. i learned that the company had gone out of business a year or so after we installed the unit three years ago. we are in san diego and started hunting for someone locally to repair it. doug at et was the only one i talked to that was knowledgeable on the unit and could help. i sent doug a picture of the leaking part and he knew exactly what it was and how to fix it. he sent me the new part at no charge, i only had to pay $10. for the one day ups shipping. he walked me through the procedure on replacing the part, testing and startup. it was really easy and i fixed it myself with his direction. he probably saved me $2,000.+ for a new unit, which what most of the local guys were quoting me. if i have a problem with the unit in the future, doug will be the first person i call. also, i have several friends in the phoenix area and will definitely recommend et/doug to them.  we've got hot water again, life is good. thanks again doug."
60,"in 30 years for having sprinkler work - both install and repair, in both arizona and california i have never experienced a more professional company.  highly professional, finished on time and the company is a joy to work with.  if you use anyone else, well the best of luck.  this company sets the gold standard in the phoenix metro area."
61,"the 5 star rating cones from the perspective of my 20 years as a customer. i've renewed my contract with 2-10 every february since 1998. its saved my ass every single year. its the single smartest decision i've made as a homeowner. those of you with negative reviews, zoom out a little bit. the hassle isn't coming from 2-10, our houses are the hassle because they're in constant need of repair.  when the ac unit on top of the house gave up the ghost, 2-10 showed up with a crane, removed the old unit, installed the new unit. i slept through the whole process, and when i woke up i had a bill for $75.  of course that's just one example. i've got 19 more years worth of them. i'm no handyman, i'm a smart man that chooses to live in my house, not worry about it.
sincerely, 
gary r."
62,"my ""go to"" spot when i need something repaired in the house, or dreaming of a upgrade i actually can perform myself.  notwithstanding that i believe that i am quite handy myself, they have been able to suggest and on some occasions, teach this old dog new skills in home improvements, which was greatly appreciated."
63,"climate advisers did a fantastic job and the response was immediate.  my two-year-old trane unit went out in this unbearable phoenix heat. he immediately got here, assessed the problem, and begin the repairs... even putting in a temporary replacement while the part we ordered came in the mail. highly recommend."
64,"mike is the man to go to for all your handyman needs. communicating through email, no problem, he is professional, on time and knocks out various jobs quickly providing a good value. he is straightforward and trustworthy, what more could you ask for. highly recommend, contact him now!"
65,"i called in the afternoon because my house wasn't cooling down past 85 degrees on the hottest day of the year, and they sent someone out that evening. the repair man, serge, was very professional and fixed the problem promptly and at a fair price. he even called later that evening to make sure that the house was cooling off. i appreciated his honesty about the condition of my unit and his not pushing a new unit replacement when i told him that we were on a tight budget. the house is still nice and cool today. i highly recommend this company for your heating and cooling needs."
66,"if you are in summerlin or the surrounding area and want an honest, hard working friendly person to handle small jobs around the house for you, daniel is your guy! he fixed lights, repaired walls and even did some electrical work. he is an all around great guy and i would recommend him for anything around the house. small jobs and large ones too. thank you daniel."
67,"this place has gone through some serious renovations lately. i had family in town, so we got rooms downtown, and it is so much nicer than it was just a few years ago. great for being on a budget too."
68,"these guys are the best.  they know the products inside and out, and are kind, informative, and fair in everyway.  take the guess work out of your repair, and let them do what they do best.  i have had many mercedes, and do know them well, but these guys have so much experience, and knowledge, and i could not recommend a more trustworthy source then the great people at mb motors.
you guys rock!!!"
69,"had sylvester and his wife ariana repair our fountain today.
pretty good size fountain at 6 ft. tall.
it was a mess.pump bad.water leaking from inlet and was not
level at all and very dirty.
he returned my call very fast was at our house in a couple hours and on time. yes. same day!
they returned and started to work even with a light rain they did not stop.
pricing was very reasonable and they are just very nice people to work with.
glad i found them on yelp.
to many large companies over charging because of there overhead.
i would give them a 10 star,if i could."
70,pete was super helpful and was honest and upfront about what needed to be repaired. he also went above and beyond and checked out some other stuff for me that i didn't even ask about to let me know what i need to keep an eye on for future reference. so glad i went here!
71,"after their renovation a couple of years ago, this place is awesome! it was pretty good before, but has improved greatly. it's fast, the staff is friendly and chatty, and the pizza is pretty good!  ask for it well-done, and it's even better!"
72,michael did a great job fixing some issues from a home inspection that i had to get repaired prior to closing.  he worked quickly and charged a very reasonable price.
73,"had my house repainted the beginning of july and am very happy with how everything turned out. everything from the initial quote to the actual work was very professional. 
their crew arrived on time and got to work quickly after an exterior walk through with me. they were able to get my 2300 sq. ft. house completed in one day since they had another crew assisting them and also repaired all cracks and stucco damage that i had.  would definitely recommend them to a family member or friend."
74,"called them yesterday after another contractor would not give me an estimate.  they asked for photos of my fountain and defunct pump, sent them, they called within minutes with a quote.  came out this afternoon, on time, had it repaired and working in thirty minutes.  these are the folks to call for fountain repairs."
75,"tru builders- honest, reliable and they do great work. did a renovation in our living room and did exactly what they designed . highly recommend them."
76,i got my smog done and three rock chip repairs in less than 10 minutes not a bad deal...
77,daniel and his team are easy in which to work.  explained product options in a clear manner.  very professional.  also does repairs if needed.
78,"i have been twice--- the family business was warm and inviting.  i had two pieces of jewelry to be repaired and they did it with a smile.  

i am not in the market for big jewelry items but as soon as i need something i will be running right up to them!!  

thanks for the smiles and the help.  

they have beautiful items... ladies :)"
79,"the ago is fantastic. after extensive renovations and an incredible amount of money, the ago has a new look. it's much more modern and interesting (and what better way to execute this than with frank gehry), this will be a wonderful canvas to exhibit their ever-growing collection."
80,very good guys honest on time and got the job done. the  previous handyman  who installed our new water heater did not attach the water softener properly. it leaked to the downstairs unit big headache.  these guys came in and for $100 properly attached the drain fixing the issue. same day. definitely will be calling them for our next job.
81,"i've taken 3 guitars to ash for set ups and fret work and i've always been impressed with his work. he does not need to tell anyone how passionate he is about guitars or his work because his actions and results speak for that.

he'll take as much time as necessary before and after the repair to make sure it's done right and the result is what you want it to be. 100% recommend!"
82,"ted's dogs are the bet.net but they are................closed for renovations until mid-june.
jimmy's dog's for now and they're good, but no ted's!"
83,"i usually go to the postnet on jones but i needed some blueprints printed for a renovation i am doing on my home. my normal postnet couldn't accommodate me so i looked for a different one when i found these guys. they were so awesome and helpful, they did not charge a set up fee and they only charged $1 a page for my blueprint printing. they also informed me that i can just email them the blueprint and they will have it ready for pickup. they are so great and amazing that my love for postnet has grown even greater."
84,"i had a water heater leaked and it was very devastated. had to rip off the walls, base boards, door frames and vinyl. it was an eye sore to look at but j&j came to the rescue. they came and repair every single thing. it was amazing on the work they did; it was like nothing happen. aaaaaaamazing. i would totally recommend them to my friends and family. thank you j&j."
85,i spent $200 on boots fore months ago here and he'll blew out they will not replace them they want to send them off somewhere for repair so that i'm without my boots this place sucks do you not by here it is non-customer friendly environment :(
86,"mike, who repaired my thermador refrigerator did an excellent job. not only he was knowledgeable but he was also very personable. well done."
87,"my wife and i our buying our first house and we had don (and his assistant) come out to do the inspection and i was absolutely amazed! he also aligned the termite inspection to happen at the same time. their attention to detail and the 55 page pdf report were incredible! with his report, we were able to show the sellers who agreed to fix all of the ""red items"" as he referred to them! we're talking thousands of dollars in repairs!! would recommend porterhouse to everyone. thanks don!"
88,anytime i need to make any repairs to my home lowe's is where i head  their sales representatives are very knowledgeable in the areas that they work and we'll make sure that you find what you were looking for. i have always had a positive experience.
89,needed to repair and update the security and com system in the home we recently purchased. david and brad were very responsive to our needs.  in addition to repairs they  provided explanations and instructions we needed to understand system we were unfamiliar with.
90,"i had a cracked pane of glass in an old 1950's window. i had contacted another company who came out after i had explained there was a security grate over the window.they not only said they couldn't do it because of that, (when they did know this prior to coming) but they had forgotten putty....wow. so i tried again, looked on yelp and found garcia's windows and more. i emailed them, they contacted me 20 minutes later. i then received a txt and sent pics, they gave me a quote that day. i finalized an appointment with them. they gave me good heads up with time, and arrived when stated. they were very knowledgeable, fast and friendly and answered all my questions. they worked around the security grate and did a fabulous job. i couldn't be happier. i will recommend them to anyone looking for professional, friendly, fast, glass repair. incredibly awesome to deal with in all aspects of initial contact and install!!!!"
91,"a friend referred me to joe's company.  joe was very professional and friendly.  i needed my tile roof to be redone and joe gave me a great quote... much better than other quotes.  joe and his team did a great job.  after the roof instal, there was an issue regarding a leak near our air conditioning unit which was on the roof.  it actually ended up being a drain issue below the rood (in the rafters).  joe immediately took responsibility, fixed the problem and payed for internal repairs.  joe is ""stand up guy"" that you can trust.  thanks for the great job!"
92,i.r.s. is top notch & lance is amazing!!! he was able to move his schedule around and still work within mine. he arrived on time and was very professional. he was able to repair a broken sprinkler valve quickly and at a fare price. lance also alerted me to some small issues that will soon become big problems. needless to say i will definitely be using i.r.s. for my future irrigation needs. a+++
93,"we had arizona cold air replace our 20 year old a/c system at our house. the replacement was done in just a day.  the process is completed using the existing copper lines running into and out of the house.

our lines had a hole which did not show up when checked. arizona cold air was excellent in standing behind their work. after trying to locate the leak for a repair, it was determined that a replacement of the line was the best option. arizona cold air completed the system work and we have been enjoying cool air as well as lower electric bills. thanks arizona cold air."
94,"these guys are great!  they didn't do any work for me but pointed me in the right direction, pete is a tremendous and knowledgable guy who i'm sure will do a great job for anyone who contracts with them.  i will certainly use them next time when i need a handyman.  thanks again pete / call 4 handyman!"
95,"steven knew exactly what he was doing. he came prepared with replacement parts for potential problems and repaired it quickly. he even showed me how to change the light bulb if i ever need to. very professional,  knowledgeable, honest - all at a great price! highly recommend!"
96,"brian and chris in the door department are incredible with their customers! unfortunately, abs, american building supply, is not. in fact, they are horrible. we ordered one of their french doors with sidelights. shortly after installation, the blinds within the glass on one door broke. we could not open them for more light. a job-site inspection by abs was required first to get it repaired. for five months abs gave us and lowe's the big runaround with repeated promises to send someone out. they never did. brian and chris did everything humanly possible to make this happen. do not buy abs products!!! they are not an honorable company and do not honor their warranty. buyers beware!"
97,"this is an excellent company to use if you are in need of awning repair/replacement.  everything they did was very efficient and of high quality.  they scheduled an appointment right away and as soon as they were hired to replace our awnings, they took the old ones down right away.  they were very professional and their followup is excellent.  they kept me posted as to status of the new awnings and got them installed when they said they would.  our new awnings look great and  i highly recommend using all pro awnings!!"
98,"i needed my house painted, but i also needed repairs made, light fixtures and water faucets changed, and i needed the exterior of my house pressure washed.  how excellent to be able to have one company that does it all?  this is a great company to work with.  everyone was hardworking and conscientious and all of the projects were completed on time and budget."
99,"i had an issue with the repair performed here the first time around, but the owner contacted me and offered to fix the problem so i guess i will be returning. i like it when businesses do a follow up with their customers."
100,"i had sylvester and his wife ariana repair my small water fountain.  it needed a pump and they were at my home on friday, investigated the problem and on saturday they installed it.  they are reasonable, prompt and very efficient.  i would recommend them to any of my friends."
101,derrick and jason were very professional and took the time necessary to analyze our situation and properly repair it for which we are thankful.  great work gentlemen.
102,"eric was very thorough and helpful through the inspection process. he even pointed out an additional inspection that saved me from buying a home with $20k+ plumbing repairs. i would trust him to inspect any home i plan on purchasing. he noted even the smallest details that may not be fixed by the seller, but that i would want to handle on my own. you'll finish your inspection with a great idea of what needs to be done."
103,"dan is a miracle worker again! repaired water damage down at the floor level on our wooden eat in table and wood wall next to our built-in frig. thanks, dan!"
104,"hays repaired a leaking vent and replaced the roofing on our porch.  i was very happy with the work and the condition they left the yard in.  the crew was polite and willing to answer my questions.  it was a little challenging getting things scheduled, but i am happy with the price and the quality of work."
105,"a co-worker referred me to beall's to get a competing bid after another contractor orally quoted me a bid of $3,800 to $4,900 depending on how we wanted to fix the problem.  i called beall's and they diagnosed and repaired the problem for the cost of a camera down the line ($215) and $142.23.  

put another way, they saved christmas by saving us more than $3,400.  based on this experience, i am comfortable abandoning my three bid requirement for all home repairs when it comes to plumbing issues and will start and end with a call to beall."
106,we just had a-1 garage repair help us with one of our garage doors. they were awesome!
107,i was referred to evans by my home warranty for a garage opener repair. i was contacted promptly by franklin about the repair and it was handled within a day. dealing with contracted workers for a warranty company can take several days for a response and to be scheduled. the fix was quick and painless on my end. thank you
108,"i have found my new handyman! after reading positive reviews on yelp i called john to see if he was available to take a look at my list of projects. he came out within a day or two of my call and was able to handle everything on my list which included- replacing the fascia on my porch before house painting; rebuilding my brick flower box; fixing my sprinkler system; replacing  kitchen faucets and lots of other small projects. john always came up with the most cost effective way to resolve a problem, arrived on time and completed each task successfully! it's a great relief to know that when i have work to be done, i know someone who knows how to do many things well. he will tell you if there is a job that he isn't comfortable with but he is so versatile i didn't experience that. yay john! i am compiling a new list :)"
109,"jon was professional, informative and punctual. he installed all my light fixtures throughout my home. one of a kind handyman, i highly recommend him! you will not be disappointed."
110,"this place is great! i brought in 6 knives in need of sharpening and repair due to chips and uneven surfaces. 24h and $30 later, it's like i have a whole new set of knives. i am so glad to have found you!"
111,i can't say enough good things about real cool.  they have been maintaining my units since i purchased my home. in 2013 they replaced my heat pump with exactly the professionalism you would expect from a customer centric company. they have yet to disappoint me. every tech has taken the time to explain any issues and not once have i had to clean up after completed repairs. other companies should  take lessons on how to successfully focus on their customers needs.
112,i had a few small things that needed to be repaired before i could sell my house. ozzy got it done so fast! they were professional and cleaned up after themselves. i'd hire them again for sure.
113,"ron came within an hour of our call on a sunday right before independence day. he was both professional and friendly. there was a flat fee rather than an hourly rate, so we appreciated that he took his time over the necessary repair. he complimented my husband's initial repair attempt, and he demonstrated extensive knowledge of an arizonan's plumbing needs. we would definitely recommend robin's plumbing overall and ron in particular for his expert, quality repair work."
114,"done.  found my new local repair people.
straight-shooting and attentive --- even when they were wicked busy."
115,"this company is fantastic. i had a small tear in an outdoor cushion. i took it in, expecting to have to leave it. they repaired it on the spot in less than five minutes and the price was unbelievable! i recommend this company highly."
116,mike was everything i was looking for in a handyman. he arrived on time and was courteous. i gave him my list of projects and he knocked them out in just a couple hours. i wouldn't hesitate to call him in the future and would definitely refer him to friends.
117,i had problems with my a/c all summer.  i had brad the handyman out and he couldn't fix it. then precision from chandler who changed a capacitor and still my a/c lines were freezing up.  on my 4th call i tried accutemp.  mike came out and determined i had a clog in the expansion value.  he cleaned it up and the a/c has been running great since.  i would definitely use this company again.
118,"i called this morning and they were able to come out this afternoon.  we had purchased a replacement garbage disposer, but they were able to clean out and get the old one working again so we will be returning our new garbage disposer. the price was right, the work was done well and they even took the time to show us what they were doing so we could try to fix it ourselves next time using the wrench they gave us.  will definitely call them next time we need a handyman!"
119,"masha ivanova
3 reviews
in the last week-edit
renata edan
3 reviews
4 months ago-
aquaseal  (pierre and his team) were great. they gave a reasonable quote and date to do the job. they showed up on time and completed the job within hours. while the job was in process pierre explained what they were doing and why.
great job! they cleaned up the site and other than the repair you would never know they were here. review c/o masha
my mind is at rest knowing that i no longer have to worry about my leaky basement.
thank you aquaseal and pierre.review c/o masha"
